stars,comment
3.0 out of 5 stars,"









  
  
    
  I give all products a 3 rating unless I’m exceptionally impressed with them. I purchased this for home n procrastinated to the point of having 3 bins to empty. So far the pros: while I’d never try to put 15 sheets in at once it did multiple thick envelopes with the staples as well. No problem with credit cards. Def very good tiny cross cuts. Also it can run for 45 min before having to cool down. Unlike others I looked at that were similar n only ran for 3-5 mins n need 45 min cool down. Im very pleased. As far as the cons go I’ve noticed most reviews say how these make it a day or two after their warranty n break. I bought an addl 5 yr warranty for like 7$ or something. So if it lasts on it’s own longer than warranty I’ll change score

  
"
3.0 out of 5 stars,"









  
  
    
  edit:  I ended up not returning cause it was so well price.  But it took me over an hour to deal with the jam and it def cannot take as many sheets at once as advertised.  As long as you just use a few sheets at a time it will be fine...Jammed up the first time i used it.  Tried that oil and it didn't work.  No other way to free up.  Sending back.  Got jammed above the cutting blades and there's no other way to free up.  I guess you can take the whole thing apart.  No thanks.  Not even close to the maximum capacity.  Returning and looking for a machine that can easily get unjammed...  Annoying.  Amazon basics not ready for prime time.....

  
"
4.0 out of 5 stars,"









  
  
    
  GOOD:  -- Notably quiet.  -- Paper shreds to a small size that is unlikely to be reassembled, especially after you mix the bag.  -- Opening seems too small for adult fingers (a plus for safety).  -- A shredder bag can easily fit over the canister.  -- Relatively fast.  -- Easy to operate.  --Doesn't seem to create and scatter visible dust like some micro-cut shredders do.  -- Seems to be well-made and should be durable.NOT-SO-GOOD:  -- Shredded paper seems to stick to the cogs at the exit, which makes it rather messy when emptying the bag unless you brush the paper hanging down from the cogs.  -- Gummed envelope material seems to stick to the cogs even more than regular paper.  This means shredding those dad-gum gummed address labels is probably not a good idea (we use scissors on those).  --The shredded paper is not compacted in the bin, so you'll have to push the paper down or empty the bin more often.  -- I know you're not supposed to do this, but access for repairing the machine is limited (we doubled the life of our previous shredder by disassembling and cleaning the rotors). -- The bin doesn't easily shut after being opened for emptying, and apparently Amazon does not sell replacement bins, so if yours jams while shutting it for goodness sake don't force it.SUMMARY:  It's a good value -- quiet, fairly inexpensive, small size of shredded paper without creating visible dust, capability for several sheets at once.

  
"
1.0 out of 5 stars,"









  
  
    
  I was planning on using this for shredding financial records, but quickly found out that if you feed standard, horizontal ""landscape"" reports into the shredder in a vertical ""portrait"" way, the pieces are so long that you can clearly read complete numbers, account descriptions and codes, names attached to specific accounts, etc.  Can't count on everyone using it the other way.  Just not acceptable for a ""cross-cut"" shredder.  Am now going to have to go through what was ""shredded"" and cut them up individually.

  
"
5.0 out of 5 stars,"









  
  
    
  Pretty thrilled with this shredder right now !  I was suspicious at first and considered sending it back because it had shreds in the bottom of the drawer already like someone had used it and sent it back. Instead, I opted to try it first.  I had a completely full 15 gallon garbage bag of financial documents  in the corner of my bedroom that I had been unable to shred with my old super slow shredder that would shut down after 2-3 minutes of use. So, I commenced shredding, and shred, and shred and shred, nonstop, until the entire bag was finished ! This shredder is definitely KING of shredders, IMO, for the price ! VERY happy !

  
"
3.0 out of 5 stars,"









  
  
    
  The strips into which the paper shreds are quite large -- large enough that you could actually read a whole twelve-point font on each shred.  It's adequate security for those of us who don't expect the FBI to analyze our trash content, but compared to the last cross-cut shredder I had at a similar tier (a Royal CX80 Cross Cut Shredder), this is disappointing.It really is a LIGHT DUTY machine.  It jams easily, and will stop without the overheat indicator lighting.  It might be unfair to remove a star because the machine, which pretty much advertises itself as light duty, proves that it actually is.  But I've had two other ostensibly light-duty shredders which were robust than this one.It otherwise is a decent shredder.  The design, where the mechanical unit just sits on top of the bucket, is good:  You can line the bucket with a plastic bag, and if the bucket fills and starts pushing the shredder up, you can still empty the unit without getting shredded paper all over the place, as might happen with a unit that uses a drawer or tilt-bin.  The unit is quiet.  The motor runs a full second or so after it finishes with the last page, so if you feed more paper in, the motor cycles less than if it were to shut instantly.  This also allows the paper to get all the way through the shredder even if it were fed at an angle.  I've shred some solid cardstock without problem, and it seems to be true to its eight-sheet capacity of normal weight paper, for the most part, with some qualification.  I do shred in volume -- more than is appropriate for these small machines -- so I might demand more than it's designed for.

  
"
1.0 out of 5 stars,"









  
  
    
  It stopped working out of the blue. Never used more than one page at a time. Took really good care of it. Tried different outlets, it's stopped working. Doesn't even reverse. Poor quality :(

  
"
5.0 out of 5 stars,"









  
  
    
  I bought this shredder last week after looking at the 4.7 star rating and the great price of $99.99. So far has performed as rated. Glad I didn't spend the $189 for the comparable Fellowes shredder. Good job Amazon. I give it 5 stars.

  
"
2.0 out of 5 stars,"









  
  
    
  I bought this as a replacement for my home shredder but it was no better than the one it replaced.  If you have serious shredding to do, then this is not a good model.  If you are using it every day, perhaps, it would be ok.  But if you're like me, and only shred from time to time, it simply is not powerful enough to handle mass shredding days.

  
"
4.0 out of 5 stars,"









  
  
    
  I want to preface this review by saying that I purchased the AmazonBasics 12-Sheet High Security Micro-Cut Paper/CD/Credit Card Shredder with Pullout Basket, and that thing is absolutely wonderful. I am spoiled with that thing by comparison, but I needed a small shredder for a second location where I don't need to shred a bunch of documents. That led to this purchase.This is a smaller shredder with a smaller capacity waste bucket that the shredder mounts on top of. you can use a plastic bag inside to catch all the waste. It is a standard crosscut that cuts thin short strips, but not as fine as the micro-cut. It was able to cut 6 pages of 20lb paper without any problem, but it slows a little to do so- no big deal. It seems like it has good power and might be able to do more in a single pass, but I don't want to chance this- that is what the bigger shredder is for.My impression is that this small shredder will fit the intended purpose for light duty use- a couple of papers here and there. It is priced at a steal of a deal at $30, especially if you have amazon prime and the thing ships to you in 2 days or less- shipping along on a similar package would cost about $12 bucks by UPS Ground...not Second Day Air. If you have a bunch of shredding to do, consider the bigger shredder- AmazonBasics 12-Sheet High Security Micro-Cut Paper/CD/Credit Card Shredder with Pullout Basket. That thing is like a paper grinder- works well and makes a neater generated paper waste that pours out of the can.

  
"
4.0 out of 5 stars,"









  
  
    
  I purchased this bad boy for my wife’s home office. Let me start off by saying this thing shreds harder than Andy Brinker from the 1998 classic film Brink. For those of you who don’t know, this 99 min film introduced some of the most unique roller blade shredding ever witnessed. Purchase this and you can be shredding like Andy in no time!Update** after using the the shredder my wife has been walking around the house being very confrontational. She now says things like “Bruh, do you even shred!?” For this reason I have to deduct one star.

  
"
4.0 out of 5 stars,"









  
  
    
  This is a quite nice machine. Very basic yet built tough to do the job. The first job I had for this shredder was a ten inches pile of documents and several closed documents, some quite thick ones. I even had my kids help me with it, for the very thick ones I opened as I was afraid of jamming the machine. The machine performed quite well which generated 9 full buckets of shredded paper. Many of the documents where stapled at the top corner and the shredder chewed right through it without any issues. I did get the machine jammed with a set of 9 sheets so I was a bit surprised as the maximum recommended is 12. They were packed very tight so that is why I think it jammed the machine.THE GOOD STUFF:Heavy duty feel to the build of the machineBasic features to get the job done - Auto On with a sensor, reverse to remove jams, safety button which only allows the teeth to rotate when the top is fully attached to the bucket (great feature as the teeth are EXTREMELY sharp which is a good thingCompact Size and discreetTHE NOT SO GREAT STUFF:It produces a lot more dust than our previous unitIts a bit noisy, so if you are using in an office its best to put it on an more isolated area than in your deskThe shredded material is quite wide and long (about ¼ inch by 1 and ¼). It would be nice if they were chopped once more to less than half an inchTHE BAD STUFFTHought the unit with the motor is well built, the bucket is quite flimsy and due to the safety mechanism it will be hard to retrofit it to another bucket without bypassing the safety click (and that would be dangerous as the unit could turn on while upside down and that would be VERY VERY dangerous.Overall I would definitely recommend this simple shredder for the home office use. If there is lot of demand and several people on constant of use like in an small office, this might be OK but it would be on the edge. I used for 30 minutes basically only stopping to dump out the material and it got a bit worm but delivered only with a small jam. Please let me know if this helps you or if you need any additional pics or other info. Cheers,

  
"
